Vars,Priviliged,Comma
" ""Is.Vendor...U.S..Federal.Government""                                                          ",,
" ""Is.Vendor...U.S..Government.Entity""                                                           ",,
" ""Is.Vendor...U.S..Local.Government""                                                            ",,
" ""Is.Vendor...U.S..State.Government""                                                            ",,
" ""Is.Vendor...U.S..Tribal.Government""                                                           ",,
 Is.Vendor...Veteran.Owned.Business                                                           ,Yes,"Is.Vendor...Veteran.Owned.Business,"
" ""Is.Vendor...Veterinary.College""                                                               ",,
" ""Is.Vendor...Veterinary.Hospital""                                                              ",,
 Is.Vendor...Woman.Owned.Business                                                             ,Yes,"Is.Vendor...Woman.Owned.Business,"
 Is.Vendor.Business.Type...Economically.Disadvantaged.Women.Owned.Small.Business              ,Yes,"Is.Vendor.Business.Type...Economically.Disadvantaged.Women.Owned.Small.Business,"
" ""Is.Vendor.Business.Type...Joint.Venture.Economically.Disadvantaged.Women.Owned.Small.Business""",,
" ""Is.Vendor.Business.Type...Joint.Venture.Women.Owned.Small.Business""                           ",,
 Is.Vendor.Business.Type...Women.Owned.Small.Business ,Yes,"Is.Vendor.Business.Type...Women.Owned.Small.Business,"
