id,codeNaics,titleNaics2,titleNaics3,titleNaics4,titleNaics5,titleNaics6
111,114111,Finfish Fishing ,Finfish Fishing ,Finfish Fishing ,Finfish Fishing ,Finfish Fishing 
112,114112,Shellfish Fishing ,Shellfish Fishing ,Shellfish Fishing ,Shellfish Fishing ,Shellfish Fishing 
113,114119,Other Marine Fishing ,Other Marine Fishing ,Other Marine Fishing ,Other Marine Fishing ,Other Marine Fishing 
114,1142,Hunting and Trapping,Hunting and Trapping,Hunting and Trapping,Hunting and Trapping,Hunting and Trapping
115,11421,Hunting and Trapping,Hunting and Trapping,Hunting and Trapping,Hunting and Trapping,Hunting and Trapping
116,114210,Hunting and Trapping,Hunting and Trapping,Hunting and Trapping,Hunting and Trapping,Hunting and Trapping
117,115,Support Activities for Agriculture and Forestry,Support Activities for Agriculture and Forestry,Support Activities for Agriculture and Forestry,Support Activities for Agriculture and Forestry,Support Activities for Agriculture and Forestry
118,1151,Support Activities for Crop Production,Support Activities for Crop Production,Support Activities for Crop Production,Support Activities for Crop Production,Support Activities for Crop Production
119,11511,Support Activities for Crop Production,Support Activities for Crop Production,Support Activities for Crop Production,Support Activities for Crop Production,Support Activities for Crop Production
120,115111,Cotton Ginning ,Cotton Ginning ,Cotton Ginning ,Cotton Ginning ,Cotton Ginning 
121,115112,"Soil Preparation, Planting, and Cultivating ","Soil Preparation, Planting, and Cultivating ","Soil Preparation, Planting, and Cultivating ","Soil Preparation, Planting, and Cultivating ","Soil Preparation, Planting, and Cultivating "
122,115113,"Crop Harvesting, Primarily by Machine ","Crop Harvesting, Primarily by Machine ","Crop Harvesting, Primarily by Machine ","Crop Harvesting, Primarily by Machine ","Crop Harvesting, Primarily by Machine "
123,115114,Postharvest Crop Activities (except Cotton Ginning) ,Postharvest Crop Activities (except Cotton Ginning) ,Postharvest Crop Activities (except Cotton Ginning) ,Postharvest Crop Activities (except Cotton Ginning) ,Postharvest Crop Activities (except Cotton Ginning) 
124,115115,Farm Labor Contractors and Crew Leaders ,Farm Labor Contractors and Crew Leaders ,Farm Labor Contractors and Crew Leaders ,Farm Labor Contractors and Crew Leaders ,Farm Labor Contractors and Crew Leaders 
125,115116,Farm Management Services ,Farm Management Services ,Farm Management Services ,Farm Management Services ,Farm Management Services 
126,1152,Support Activities for Animal Production,Support Activities for Animal Production,Support Activities for Animal Production,Support Activities for Animal Production,Support Activities for Animal Production
127,11521,Support Activities for Animal Production,Support Activities for Animal Production,Support Activities for Animal Production,Support Activities for Animal Production,Support Activities for Animal Production
128,115210,Support Activities for Animal Production,Support Activities for Animal Production,Support Activities for Animal Production,Support Activities for Animal Production,Support Activities for Animal Production
129,1153,Support Activities for Forestry,Support Activities for Forestry,Support Activities for Forestry,Support Activities for Forestry,Support Activities for Forestry
130,11531,Support Activities for Forestry,Support Activities for Forestry,Support Activities for Forestry,Support Activities for Forestry,Support Activities for Forestry
131,115310,Support Activities for Forestry,Support Activities for Forestry,Support Activities for Forestry,Support Activities for Forestry,Support Activities for Forestry
132,21,"Mining, Quarrying, and Oil and Gas Extraction","Mining, Quarrying, and Oil and Gas Extraction","Mining, Quarrying, and Oil and Gas Extraction","Mining, Quarrying, and Oil and Gas Extraction","Mining, Quarrying, and Oil and Gas Extraction"
133,211,Oil and Gas Extraction,Oil and Gas Extraction,Oil and Gas Extraction,Oil and Gas Extraction,Oil and Gas Extraction
134,2111,Oil and Gas Extraction,Oil and Gas Extraction,Oil and Gas Extraction,Oil and Gas Extraction,Oil and Gas Extraction
135,21111,Oil and Gas Extraction,Oil and Gas Extraction,Oil and Gas Extraction,Oil and Gas Extraction,Oil and Gas Extraction
136,211111,Crude Petroleum and Natural Gas Extraction ,Crude Petroleum and Natural Gas Extraction ,Crude Petroleum and Natural Gas Extraction ,Crude Petroleum and Natural Gas Extraction ,Crude Petroleum and Natural Gas Extraction 
137,211112,Natural Gas Liquid Extraction ,Natural Gas Liquid Extraction ,Natural Gas Liquid Extraction ,Natural Gas Liquid Extraction ,Natural Gas Liquid Extraction 
138,212,Mining (except Oil and Gas),Mining (except Oil and Gas),Mining (except Oil and Gas),Mining (except Oil and Gas),Mining (except Oil and Gas)
139,2121,Coal Mining,Coal Mining,Coal Mining,Coal Mining,Coal Mining
140,21211,Coal Mining,Coal Mining,Coal Mining,Coal Mining,Coal Mining
141,212111,Bituminous Coal and Lignite Surface Mining ,Bituminous Coal and Lignite Surface Mining ,Bituminous Coal and Lignite Surface Mining ,Bituminous Coal and Lignite Surface Mining ,Bituminous Coal and Lignite Surface Mining 
142,212112,Bituminous Coal Underground Mining ,Bituminous Coal Underground Mining ,Bituminous Coal Underground Mining ,Bituminous Coal Underground Mining ,Bituminous Coal Underground Mining 
143,212113,Anthracite Mining ,Anthracite Mining ,Anthracite Mining ,Anthracite Mining ,Anthracite Mining 
144,2122,Metal Ore Mining,Metal Ore Mining,Metal Ore Mining,Metal Ore Mining,Metal Ore Mining
145,21221,Iron Ore Mining,Iron Ore Mining,Iron Ore Mining,Iron Ore Mining,Iron Ore Mining
146,212210,Iron Ore Mining,Iron Ore Mining,Iron Ore Mining,Iron Ore Mining,Iron Ore Mining
147,21222,Gold Ore and Silver Ore Mining,Gold Ore and Silver Ore Mining,Gold Ore and Silver Ore Mining,Gold Ore and Silver Ore Mining,Gold Ore and Silver Ore Mining
148,212221,Gold Ore Mining ,Gold Ore Mining ,Gold Ore Mining ,Gold Ore Mining ,Gold Ore Mining 
149,212222,Silver Ore Mining ,Silver Ore Mining ,Silver Ore Mining ,Silver Ore Mining ,Silver Ore Mining 
150,21223,"Copper, Nickel, Lead, and Zinc Mining","Copper, Nickel, Lead, and Zinc Mining","Copper, Nickel, Lead, and Zinc Mining","Copper, Nickel, Lead, and Zinc Mining","Copper, Nickel, Lead, and Zinc Mining"
151,212231,Lead Ore and Zinc Ore Mining ,Lead Ore and Zinc Ore Mining ,Lead Ore and Zinc Ore Mining ,Lead Ore and Zinc Ore Mining ,Lead Ore and Zinc Ore Mining 
152,212234,Copper Ore and Nickel Ore Mining ,Copper Ore and Nickel Ore Mining ,Copper Ore and Nickel Ore Mining ,Copper Ore and Nickel Ore Mining ,Copper Ore and Nickel Ore Mining 
153,21229,Other Metal Ore Mining,Other Metal Ore Mining,Other Metal Ore Mining,Other Metal Ore Mining,Other Metal Ore Mining
154,212291,Uranium-Radium-Vanadium Ore Mining ,Uranium-Radium-Vanadium Ore Mining ,Uranium-Radium-Vanadium Ore Mining ,Uranium-Radium-Vanadium Ore Mining ,Uranium-Radium-Vanadium Ore Mining 
155,212299,All Other Metal Ore Mining ,All Other Metal Ore Mining ,All Other Metal Ore Mining ,All Other Metal Ore Mining ,All Other Metal Ore Mining 
156,2123,Nonmetallic Mineral Mining and Quarrying,Nonmetallic Mineral Mining and Quarrying,Nonmetallic Mineral Mining and Quarrying,Nonmetallic Mineral Mining and Quarrying,Nonmetallic Mineral Mining and Quarrying
157,21231,Stone Mining and Quarrying,Stone Mining and Quarrying,Stone Mining and Quarrying,Stone Mining and Quarrying,Stone Mining and Quarrying
158,212311,Dimension Stone Mining and Quarrying ,Dimension Stone Mining and Quarrying ,Dimension Stone Mining and Quarrying ,Dimension Stone Mining and Quarrying ,Dimension Stone Mining and Quarrying 
159,212312,Crushed and Broken Limestone Mining and Quarrying ,Crushed and Broken Limestone Mining and Quarrying ,Crushed and Broken Limestone Mining and Quarrying ,Crushed and Broken Limestone Mining and Quarrying ,Crushed and Broken Limestone Mining and Quarrying 
160,212313,Crushed and Broken Granite Mining and Quarrying ,Crushed and Broken Granite Mining and Quarrying ,Crushed and Broken Granite Mining and Quarrying ,Crushed and Broken Granite Mining and Quarrying ,Crushed and Broken Granite Mining and Quarrying 
161,212319,Other Crushed and Broken Stone Mining and Quarrying ,Other Crushed and Broken Stone Mining and Quarrying ,Other Crushed and Broken Stone Mining and Quarrying ,Other Crushed and Broken Stone Mining and Quarrying ,Other Crushed and Broken Stone Mining and Quarrying 
162,21232,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying","Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying","Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying","Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying","Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying"
163,212321,Construction Sand and Gravel Mining ,Construction Sand and Gravel Mining ,Construction Sand and Gravel Mining ,Construction Sand and Gravel Mining ,Construction Sand and Gravel Mining 
164,212322,Industrial Sand Mining ,Industrial Sand Mining ,Industrial Sand Mining ,Industrial Sand Mining ,Industrial Sand Mining 
165,212324,Kaolin and Ball Clay Mining ,Kaolin and Ball Clay Mining ,Kaolin and Ball Clay Mining ,Kaolin and Ball Clay Mining ,Kaolin and Ball Clay Mining 
166,212325,Clay and Ceramic and Refractory Minerals Mining ,Clay and Ceramic and Refractory Minerals Mining ,Clay and Ceramic and Refractory Minerals Mining ,Clay and Ceramic and Refractory Minerals Mining ,Clay and Ceramic and Refractory Minerals Mining 
167,21239,Other Nonmetallic Mineral Mining and Quarrying,Other Nonmetallic Mineral Mining and Quarrying,Other Nonmetallic Mineral Mining and Quarrying,Other Nonmetallic Mineral Mining and Quarrying,Other Nonmetallic Mineral Mining and Quarrying
168,212391,"Potash, Soda, and Borate Mineral Mining ","Potash, Soda, and Borate Mineral Mining ","Potash, Soda, and Borate Mineral Mining ","Potash, Soda, and Borate Mineral Mining ","Potash, Soda, and Borate Mineral Mining "
169,212392,Phosphate Rock Mining ,Phosphate Rock Mining ,Phosphate Rock Mining ,Phosphate Rock Mining ,Phosphate Rock Mining 
170,212393,Other Chemical and Fertilizer Mineral Mining ,Other Chemical and Fertilizer Mineral Mining ,Other Chemical and Fertilizer Mineral Mining ,Other Chemical and Fertilizer Mineral Mining ,Other Chemical and Fertilizer Mineral Mining 
171,212399,All Other Nonmetallic Mineral Mining ,All Other Nonmetallic Mineral Mining ,All Other Nonmetallic Mineral Mining ,All Other Nonmetallic Mineral Mining ,All Other Nonmetallic Mineral Mining 
172,213,Support Activities for Mining,Support Activities for Mining,Support Activities for Mining,Support Activities for Mining,Support Activities for Mining
173,2131,Support Activities for Mining,Support Activities for Mining,Support Activities for Mining,Support Activities for Mining,Support Activities for Mining
174,21311,Support Activities for Mining,Support Activities for Mining,Support Activities for Mining,Support Activities for Mining,Support Activities for Mining
175,213111,Drilling Oil and Gas Wells,Drilling Oil and Gas Wells,Drilling Oil and Gas Wells,Drilling Oil and Gas Wells,Drilling Oil and Gas Wells
176,213112,Support Activities for Oil and Gas Operations ,Support Activities for Oil and Gas Operations ,Support Activities for Oil and Gas Operations ,Support Activities for Oil and Gas Operations ,Support Activities for Oil and Gas Operations 
177,213113,Support Activities for Coal Mining ,Support Activities for Coal Mining ,Support Activities for Coal Mining ,Support Activities for Coal Mining ,Support Activities for Coal Mining 
178,213114,Support Activities for Metal Mining ,Support Activities for Metal Mining ,Support Activities for Metal Mining ,Support Activities for Metal Mining ,Support Activities for Metal Mining 
179,213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining ,Support Activities for Nonmetallic Minerals (except Fuels) Mining ,Support Activities for Nonmetallic Minerals (except Fuels) Mining ,Support Activities for Nonmetallic Minerals (except Fuels) Mining ,Support Activities for Nonmetallic Minerals (except Fuels) Mining 
180,22,Utilities,Utilities,Utilities,Utilities,Utilities
181,221,Utilities ,Utilities ,Utilities ,Utilities ,Utilities 
182,2211,"Electric Power Generation, Transmission and Distribution","Electric Power Generation, Transmission and Distribution","Electric Power Generation, Transmission and Distribution","Electric Power Generation, Transmission and Distribution","Electric Power Generation, Transmission and Distribution"
183,22111,Electric Power Generation ,Electric Power Generation ,Electric Power Generation ,Electric Power Generation ,Electric Power Generation 
184,221111,Hydroelectric Power Generation ,Hydroelectric Power Generation ,Hydroelectric Power Generation ,Hydroelectric Power Generation ,Hydroelectric Power Generation 
185,221112,Fossil Fuel Electric Power Generation ,Fossil Fuel Electric Power Generation ,Fossil Fuel Electric Power Generation ,Fossil Fuel Electric Power Generation ,Fossil Fuel Electric Power Generation 
186,221113,Nuclear Electric Power Generation ,Nuclear Electric Power Generation ,Nuclear Electric Power Generation ,Nuclear Electric Power Generation ,Nuclear Electric Power Generation 
187,221114,Solar Electric Power Generation ,Solar Electric Power Generation ,Solar Electric Power Generation ,Solar Electric Power Generation ,Solar Electric Power Generation 
188,221115,Wind Electric Power Generation ,Wind Electric Power Generation ,Wind Electric Power Generation ,Wind Electric Power Generation ,Wind Electric Power Generation 
189,221116,Geothermal Electric Power Generation ,Geothermal Electric Power Generation ,Geothermal Electric Power Generation ,Geothermal Electric Power Generation ,Geothermal Electric Power Generation 
190,221117,Biomass Electric Power Generation ,Biomass Electric Power Generation ,Biomass Electric Power Generation ,Biomass Electric Power Generation ,Biomass Electric Power Generation 
191,221118,Other Electric Power Generation ,Other Electric Power Generation ,Other Electric Power Generation ,Other Electric Power Generation ,Other Electric Power Generation 
192,22112,"Electric Power Transmission, Control, and Distribution ","Electric Power Transmission, Control, and Distribution ","Electric Power Transmission, Control, and Distribution ","Electric Power Transmission, Control, and Distribution ","Electric Power Transmission, Control, and Distribution "
193,221121,Electric Bulk Power Transmission and Control ,Electric Bulk Power Transmission and Control ,Electric Bulk Power Transmission and Control ,Electric Bulk Power Transmission and Control ,Electric Bulk Power Transmission and Control 
194,221122,Electric Power Distribution ,Electric Power Distribution ,Electric Power Distribution ,Electric Power Distribution ,Electric Power Distribution 
195,2212,Natural Gas Distribution ,Natural Gas Distribution ,Natural Gas Distribution ,Natural Gas Distribution ,Natural Gas Distribution 
196,22121,Natural Gas Distribution ,Natural Gas Distribution ,Natural Gas Distribution ,Natural Gas Distribution ,Natural Gas Distribution 
197,221210,Natural Gas Distribution ,Natural Gas Distribution ,Natural Gas Distribution ,Natural Gas Distribution ,Natural Gas Distribution 
